slot, dow, hour, int_demand, ext_demand
360, 1, 1, 29.3889, 0
361, 1, 2, 30.6402, 611.2121
362, 1, 3, 39.9722, 579.7086
363, 1, 4, 44.9625, 671.5089
364, 1, 5, 48.2722, 689.9803
365, 1, 6, 55.962, 783.7388
366, 1, 7, 44.2349, 804.7684
367, 1, 8, 41.0937, 813.8704
368, 1, 9, 39.5402, 864.6207
369, 1, 10, 34.0517, 935.8554
370, 1, 11, 22.0706, 937.3489
371, 1, 12, 22.9858, 891.3693
372, 1, 13, 24.6122, 1016.1309
373, 1, 14, 20.5611, 855.6118
374, 1, 15, 16.8918, 729.3561
375, 1, 16, 26.1901, 809.0963
376, 1, 17, 34.2468, 944.3127
377, 1, 18, 55.584, 827.7942
378, 1, 19, 57.4205, 856.0974
379, 1, 20, 46.4565, 902.4632
380, 1, 21, 44.8136, 966.6362
381, 1, 22, 43.6229, 960.3425
382, 1, 23, 40.8776, 1028.3391
383, 2, 0, 37.9197, 916.2277
384, 2, 1, 38.0195, 1044.5592
385, 2, 2, 36.6125, 855.246
386, 2, 3, 44.8775, 975.0008
387, 2, 4, 45.1558, 934.0595
388, 2, 5, 47.6058, 958.4325
389, 2, 6, 53.252, 941.783
390, 2, 7, 42.8014, 1072.2902
391, 2, 8, 48.3746, 1085.6883
392, 2, 9, 38.3471, 1074.6365
393, 2, 10, 32.9023, 954.3654
394, 2, 11, 29.4014, 975.2651
395, 2, 12, 25.7619, 939.7864
396, 2, 13, 21.2039, 904.4322
397, 2, 14, 22.6407, 999.295
398, 2, 15, 20.6693, 993.8693
399, 2, 16, 52.4192, 886.6697
400, 2, 17, 50.5271, 873.7064
401, 2, 18, 41.8566, 979.5726
402, 2, 19, 58.168, 925.9947
403, 2, 20, 41.8724, 994.5573
404, 2, 21, 44.2817, 1027.8437
405, 2, 22, 42.706, 1049.0388
406, 2, 23, 37.2519, 1001.3658
407, 3, 0, 37.0577, 1176.4126
408, 3, 1, 41.2509, 1155.9553
409, 3, 2, 41.1067, 1073.6397
410, 3, 3, 42.0538, 1083.1505
411, 3, 4, 43.1477, 1171.4233
412, 3, 5, 50.1272, 1010.077
413, 3, 6, 49.7852, 1154.3266
414, 3, 7, 43.206, 1112.0756
415, 3, 8, 42.9633, 1209.2376
416, 3, 9, 31.9798, 1183.6882
417, 3, 10, 15.1966, 1232.9918
418, 3, 11, 11.9605, 1107.2488
419, 3, 12, 13.7198, 1084.4746
420, 3, 13, -0.3048, 1145.2843
421, 3, 14, 22.3378, 986.6022
422, 3, 15, 13.4256, 1041.0777
423, 3, 16, 23.6699, 1023.7108
424, 3, 17, 34.1457, 1159.6452
425, 3, 18, 53.3797, 978.3003
426, 3, 19, 56.7011, 1118.6603
427, 3, 20, 51.3097, 1187.1204
428, 3, 21, 51.9048, 1172.8372
429, 3, 22, 52.7639, 1176.866
430, 3, 23, 43.0926, 1199.3162
431, 4, 0, 39.2804, 1129.9192
432, 4, 1, 42.4707, 1128.8108
433, 4, 2, 40.5903, 1130.4409
434, 4, 3, 41.2628, 1149.8406
435, 4, 4, 43.1391, 1189.0831
436, 4, 5, 50.0873, 1082.8647
437, 4, 6, 54.4903, 1292.3083
438, 4, 7, 45.9894, 1129.1392
439, 4, 8, 46.3806, 1118.3177
440, 4, 9, 26.4751, 1199.0898
441, 4, 10, 21.048, 1196.4908
442, 4, 11, 2.6082, 1150.0192
443, 4, 12, 5.1438, 1054.2222
444, 4, 13, 10.027, 1133.9585
445, 4, 14, 21.6963, 941.0537
446, 4, 15, 27.9277, 1048.0394
447, 4, 16, 51.8616, 920.2548
448, 4, 17, 41.8172, 1019.4075
