slot, dow, hour, int_demand, ext_demand
360, 1, 1, 34.7827, 0
361, 1, 2, 37.1684, 508.566
362, 1, 3, 43.6356, 581.1653
363, 1, 4, 52.8409, 572.6765
364, 1, 5, 62.1793, 734.9605
365, 1, 6, 68.1642, 775.0174
366, 1, 7, 58.4142, 917.0942
367, 1, 8, 65.5844, 823.2789
368, 1, 9, 45.7053, 924.2651
369, 1, 10, 43.6943, 920.7357
370, 1, 11, 39.1976, 938.1884
371, 1, 12, 28.6947, 896.168
372, 1, 13, 35.2184, 933.2296
373, 1, 14, 46.7085, 896.0538
374, 1, 15, 59.9453, 945.5922
375, 1, 16, 62.4545, 982.2691
376, 1, 17, 58.8306, 935.6681
377, 1, 18, 71.7805, 923.8585
378, 1, 19, 71.1388, 1012.7306
379, 1, 20, 63.7169, 926.0455
380, 1, 21, 58.1756, 945.8246
381, 1, 22, 48.5265, 931.6672
382, 1, 23, 46.6443, 796.3197
383, 2, 0, 42.9668, 758.365
384, 2, 1, 42.7592, 855.1301
385, 2, 2, 43.3901, 868.5757
386, 2, 3, 47.8056, 848.8021
387, 2, 4, 52.0734, 752.3263
388, 2, 5, 53.1494, 789.4674
389, 2, 6, 65.9644, 811.5255
390, 2, 7, 58.5165, 854.1189
391, 2, 8, 67.3748, 974.916
392, 2, 9, 77.0113, 975.2781
393, 2, 10, 56.6805, 1028.4547
394, 2, 11, 54.4913, 988.911
395, 2, 12, 53.6263, 1050.8726
396, 2, 13, 43.6401, 1036.4621
397, 2, 14, 39.3156, 978.5294
398, 2, 15, 50.3298, 893.306
399, 2, 16, 50.6545, 955.3634
400, 2, 17, 55.9755, 1057.0975
401, 2, 18, 65.6551, 1062.3706
402, 2, 19, 60.3814, 1002.1246
403, 2, 20, 56.4574, 888.1386
404, 2, 21, 50.1315, 946.6545
405, 2, 22, 48.198, 973.2767
406, 2, 23, 46.6595, 832.6125
407, 3, 0, 43.6212, 843.6364
408, 3, 1, 41.1107, 777.5983
409, 3, 2, 41.6687, 654.0364
410, 3, 3, 56.3198, 806.5757
411, 3, 4, 59.9808, 893.7481
412, 3, 5, 60.9138, 929.4319
413, 3, 6, 77.9363, 847.6987
414, 3, 7, 70.1164, 872.8751
415, 3, 8, 76.3564, 968.4325
416, 3, 9, 65.9137, 958.5276
417, 3, 10, 61.6011, 976.0839
418, 3, 11, 55.3327, 882.8828
419, 3, 12, 58.4505, 1024.1639
420, 3, 13, 59.5757, 892.1956
421, 3, 14, 67.0474, 999.7856
422, 3, 15, 66.9392, 937.3079
423, 3, 16, 70.2986, 945.3662
424, 3, 17, 65.0248, 961.3835
425, 3, 18, 67.8956, 953.5268
426, 3, 19, 64.1108, 1033.8452
427, 3, 20, 61.1169, 988.371
428, 3, 21, 49.6004, 995.1643
429, 3, 22, 55.2032, 855.9797
430, 3, 23, 49.9347, 922.8917
431, 4, 0, 54.2006, 793.0011
432, 4, 1, 53.1232, 804.0467
433, 4, 2, 55.4008, 701.0727
434, 4, 3, 52.5084, 808.2013
435, 4, 4, 60.4627, 815.0593
436, 4, 5, 60.364, 852.9319
437, 4, 6, 66.9331, 866.307
438, 4, 7, 60.7111, 912.4786
439, 4, 8, 65.0949, 1072.3523
440, 4, 9, 55.7059, 925.3487
441, 4, 10, 38.2171, 1087.4833
442, 4, 11, 39.0113, 994.8562
443, 4, 12, 30.0128, 1045.515
444, 4, 13, 39.9756, 1043.5785
445, 4, 14, 50.0926, 987.6702
446, 4, 15, 67.1833, 1029.1963
447, 4, 16, 75.5623, 1060.9983
448, 4, 17, 61.5739, 907.7564
449, 4, 18, 65.6802, 980.3926
450, 4, 19, 62.7085, 1012.4325
451, 4, 20, 67.0102, 884.8774
452, 4, 21, 61.8341, 919.8075
453, 4, 22, 57.6297, 900.4505
454, 4, 23, 56.2319, 894.4124
455, 5, 0, 55.0698, 777.1603
456, 5, 1, 52.9224, 782.0323
457, 5, 2, 56.0104, 814.8884
458, 5, 3, 65.4473, 856.2588
