360 10.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
361 8.9 9.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
362 10.7 8.2 8.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
363 10.6 7.2 7.2 7.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
364 9.8 7.6 6.6 6.6 6.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
365 10.4 6.7 6.7 6.2 6.2 6.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
366 8.1 6 6 6 6 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
367 6.4 6.9 5.6 5.6 5.6 5.8 5.8 5.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
368 6.4 6 6 5.4 5.4 5.4 5.5 5.5 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
369 6.4 5.2 5.2 5.2 5.2 5.2 5.2 5.2 5.2 5.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
370 7.2 6.2 4.7 4.7 4.7 4.9 4.9 4.9 4.9 4.9 4.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
371 8.3 5.2 5.2 4.5 4.5 4.5 4.7 4.7 4.7 4.6 4.6 4.6 0 0 0 0 0 0 0 0 0 0 0 0 0 
372 7.5 4.6 4.6 4.6 4.6 4.6 4.6 4.6 4.6 4.6 4.6 4.6 4.6 0 0 0 0 0 0 0 0 0 0 0 0 
373 8.5 6.3 4.8 4.8 4.8 5.1 5.1 5.1 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 
374 9.3 6.5 6.5 5.8 5.8 5.8 6 6 6 5.9 5.9 5.9 5.9 5.9 5.9 0 0 0 0 0 0 0 0 0 0 
375 11.3 8.1 8.1 7.4 7.4 7.4 7.4 7.4 7.4 7.4 7.4 7.4 7.4 7.4 7.4 7.4 0 0 0 0 0 0 0 0 0 
376 15 11.1 9.3 9.3 9.3 9.6 9.6 9.6 9.5 9.5 9.5 9.5 9.5 9.5 9.5 9.5 9.5 0 0 0 0 0 0 0 0 
377 15.6 12.5 12.5 11.6 11.6 11.6 11.8 11.8 11.8 11.8 11.8 11.8 11.8 11.8 11.8 11.8 11.8 11.8 0 0 0 0 0 0 0 
378 16.7 15.6 15.6 15.6 15.6 15.6 13.7 13.7 13.7 13.7 13.7 13.7 13.7 13.7 13.7 13.7 13.7 13.7 13.7 0 0 0 0 0 0 
