slot, dow, hour, int_demand, ext_demand
360, 4, 1, 34.805, 0
361, 4, 2, 34.4636, 599.1819
362, 4, 3, 41.5578, 543.6752
363, 4, 4, 46.4173, 569.6227
364, 4, 5, 49.6009, 588.2972
365, 4, 6, 55.7362, 648.3184
366, 4, 7, 43.9056, 678.3075
367, 4, 8, 50.6944, 696.2839
368, 4, 9, 39.7103, 768.0314
369, 4, 10, 28.439, 806.9807
370, 4, 11, 16.4172, 787.1706
371, 4, 12, 24.1296, 794.9848
372, 4, 13, 23.4633, 639.6177
373, 4, 14, 13.8548, 769.7195
374, 4, 15, 22.0855, 854.9649
375, 4, 16, 35.8019, 722.0486
376, 4, 17, 39.0317, 725.3941
377, 4, 18, 52.3556, 735.591
378, 4, 19, 50.3888, 854.2531
379, 4, 20, 50.3346, 726.2416
380, 4, 21, 44.0514, 745.6008
381, 4, 22, 46.7035, 744.2249
382, 4, 23, 42.5993, 653.9813
383, 5, 0, 43.1867, 641.5224
384, 5, 1, 38.43, 648.951
385, 5, 2, 44.7346, 529.4904
386, 5, 3, 42.2671, 564.9222
387, 5, 4, 47.4268, 743.6578
388, 5, 5, 48.4618, 596.0633
389, 5, 6, 50.5906, 661.0928
390, 5, 7, 48.7115, 718.7199
391, 5, 8, 47.344, 746.1338
392, 5, 9, 37.0237, 818.148
393, 5, 10, 30.4079, 754.8869
394, 5, 11, 24.6759, 785.9673
395, 5, 12, 23.0749, 817.6508
396, 5, 13, 17.0383, 731.9695
397, 5, 14, 23.7321, 800.3692
398, 5, 15, 10.5977, 835.5495
399, 5, 16, 24.0274, 838.545
400, 5, 17, 39.2137, 811.3192
401, 5, 18, 51.6891, 758.6587
402, 5, 19, 52.3499, 773.4632
403, 5, 20, 50.2733, 805.7859
404, 5, 21, 47.3217, 827.0557
405, 5, 22, 45.3405, 713.5382
406, 5, 23, 52.2308, 530.7283
407, 6, 0, 55.7826, 599.4139
408, 6, 1, 48.5208, 566.5437
409, 6, 2, 49.1824, 472.8397
410, 6, 3, 48.089, 565.6454
411, 6, 4, 50.0059, 518.4372
412, 6, 5, 45.5695, 523.4274
413, 6, 6, 48.388, 568.6597
414, 6, 7, 50.2271, 654.9459
415, 6, 8, 44.2831, 720.0896
416, 6, 9, 26.6127, 738.3469
417, 6, 10, 30.6284, 864.2968
418, 6, 11, 33.1803, 643.1518
419, 6, 12, 30.0147, 721.0741
420, 6, 13, 24.3072, 727.523
421, 6, 14, 36.8905, 680.3308
422, 6, 15, 35.2534, 622.3962
423, 6, 16, 36.3733, 803.3113
424, 6, 17, 33.0811, 797.5833
425, 6, 18, 34.4614, 739.6669
426, 6, 19, 35.3071, 728.5509
427, 6, 20, 35.7404, 727.1214
428, 6, 21, 40.0786, 659.4572
429, 6, 22, 38.3068, 640.0998
430, 6, 23, 38.6665, 544.4249
431, 7, 0, 42.6951, 631.9645
432, 7, 1, 42.9593, 482.2002
433, 7, 2, 41.4372, 598.7548
434, 7, 3, 44.9507, 480.1391
435, 7, 4, 43.0638, 431.8125
436, 7, 5, 37.1031, 508.0686
437, 7, 6, 43.8303, 520.0767
438, 7, 7, 46.7362, 676.9232
439, 7, 8, 52.1894, 759.2667
440, 7, 9, 40.3583, 756.1078
441, 7, 10, 40.7305, 731.3957
442, 7, 11, 25.2453, 753.4097
443, 7, 12, 33.1849, 723.1153
444, 7, 13, 33.8415, 699.4862
445, 7, 14, 45.6889, 667.1825
446, 7, 15, 47.4177, 765.179
447, 7, 16, 51.7116, 601.2521
