slot, dow, hour, int_demand, ext_demand
360, 4, 1, 32.0908, 0
361, 4, 2, 33.591, 697.7676
362, 4, 3, 36.9521, 609.9154
363, 4, 4, 44.4439, 585.4469
364, 4, 5, 50.7817, 700.2485
365, 4, 6, 54.4074, 644.4924
366, 4, 7, 43.2226, 829.2334
367, 4, 8, 56.5338, 869.8615
368, 4, 9, 36.4599, 818.3585
369, 4, 10, 31.9347, 846.6215
370, 4, 11, 30.9984, 879.8424
371, 4, 12, 25.2846, 864.2515
372, 4, 13, 22.9554, 816.3094
373, 4, 14, 35.1255, 750.7569
374, 4, 15, 45.0562, 861.4114
375, 4, 16, 51.1762, 830.8084
376, 4, 17, 42.588, 821.3765
377, 4, 18, 66.3963, 755.6708
378, 4, 19, 46.4996, 902.4564
379, 4, 20, 55.958, 801.383
380, 4, 21, 48.7328, 723.2691
381, 4, 22, 45.8295, 689.6455
382, 4, 23, 41.1947, 644.6198
383, 5, 0, 40.9685, 601.6961
384, 5, 1, 41.8521, 642.4942
385, 5, 2, 45.3429, 632.5918
386, 5, 3, 42.6169, 532.531
387, 5, 4, 45.1146, 627.9839
388, 5, 5, 44.7428, 560.7986
389, 5, 6, 45.1442, 751.5566
390, 5, 7, 45.7041, 639.7
391, 5, 8, 43.8731, 819.921
392, 5, 9, 44.14, 825.3821
393, 5, 10, 45.7561, 797.0353
394, 5, 11, 43.408, 773.0996
395, 5, 12, 46.8597, 833.8524
396, 5, 13, 53.533, 882.388
397, 5, 14, 51.2694, 915.4963
398, 5, 15, 52.3573, 840.8352
399, 5, 16, 55.3866, 945.1198
400, 5, 17, 56.7234, 786.1863
401, 5, 18, 60.6221, 863.9
402, 5, 19, 49.1694, 974.2934
403, 5, 20, 55.5969, 922.7973
404, 5, 21, 51.5013, 827.4029
405, 5, 22, 47.1516, 769.7105
406, 5, 23, 43.7778, 648.4613
407, 6, 0, 43.5701, 627.5013
408, 6, 1, 41.3605, 693.3783
409, 6, 2, 46.0068, 703.3653
410, 6, 3, 43.276, 637.5098
411, 6, 4, 47.1484, 543.7172
412, 6, 5, 49.9618, 620.0703
413, 6, 6, 55.3484, 794.5195
414, 6, 7, 56.2732, 723.8198
415, 6, 8, 50.0639, 882.0955
416, 6, 9, 47.961, 798.971
417, 6, 10, 37.7371, 786.3363
418, 6, 11, 23.7598, 798.5504
419, 6, 12, 11.2318, 917.5523
420, 6, 13, 21.8162, 933.1868
421, 6, 14, 26.5021, 871.0597
422, 6, 15, 16.2439, 798.3878
423, 6, 16, 21.3804, 812.184
424, 6, 17, 38.8882, 898.5691
425, 6, 18, 49.8969, 776.5863
426, 6, 19, 51.8189, 915.6296
427, 6, 20, 48.662, 898.82
428, 6, 21, 51.8782, 753.8293
429, 6, 22, 47.3552, 778.5409
430, 6, 23, 50.8082, 631.4734
431, 7, 0, 56.6423, 665.5365
432, 7, 1, 50.8606, 648.8063
433, 7, 2, 47.2844, 594.7408
434, 7, 3, 48.1668, 544.4225
435, 7, 4, 48.9781, 668.71
436, 7, 5, 46.6999, 711.6053
437, 7, 6, 53.6422, 694.142
438, 7, 7, 47.8905, 701.3453
439, 7, 8, 40.5862, 809.7255
440, 7, 9, 28.3815, 815.5903
441, 7, 10, 26.8481, 827.6668
442, 7, 11, 20.3791, 807.6956
443, 7, 12, 24.2008, 807.2763
444, 7, 13, 40.5846, 894.1862
445, 7, 14, 31.3482, 809.251
446, 7, 15, 32.4428, 850.0342
447, 7, 16, 33.009, 809.5412
448, 7, 17, 38.2722, 887.6488
449, 7, 18, 43.2478, 832.2158
450, 7, 19, 52.8738, 717.8306
451, 7, 20, 51.8421, 782.5977
452, 7, 21, 45.6295, 812.0191
453, 7, 22, 43.5706, 670.7734
454, 7, 23, 46.097, 726.6264
455, 1, 0, 46.7254, 690.7105
456, 1, 1, 50.3964, 548.5265
457, 1, 2, 51.1195, 575.0104
458, 1, 3, 47.6937, 570.7929
459, 1, 4, 54.1581, 569.2629
460, 1, 5, 48.664, 613.3651
461, 1, 6, 59.1855, 659.8634
462, 1, 7, 54.5673, 785.5123
463, 1, 8, 64.1827, 830.3977
464, 1, 9, 40.9819, 874.1762
465, 1, 10, 28.8378, 837.9307
466, 1, 11, 34.8841, 848.5777
