slot, dow, hour, int_demand, ext_demand
360, 4, 1, 29.2778, 0
361, 4, 2, 29.9184, 642.4752
362, 4, 3, 36.803, 654.2785
363, 4, 4, 40.1424, 567.2756
364, 4, 5, 44.739, 562.9095
365, 4, 6, 47.985, 720.7913
366, 4, 7, 44.3124, 653.1311
367, 4, 8, 48.5477, 728.0855
368, 4, 9, 44.6428, 737.7383
369, 4, 10, 31.937, 780.2229
370, 4, 11, 33.6371, 692.7872
371, 4, 12, 30.6765, 775.4462
372, 4, 13, 23.8695, 760.28
373, 4, 14, 30.2026, 780.564
374, 4, 15, 36.2263, 785.7893
375, 4, 16, 35.0005, 765.6683
376, 4, 17, 52.941, 823.1404
377, 4, 18, 58.6796, 778.7803
378, 4, 19, 56.4736, 908.9033
379, 4, 20, 46.4188, 877.0843
380, 4, 21, 41.9783, 984.3778
381, 4, 22, 45.7953, 933.9521
382, 4, 23, 50.5849, 921.3055
383, 5, 0, 42.9531, 789.7943
384, 5, 1, 31.3513, 824.5396
385, 5, 2, 30.6247, 663.154
386, 5, 3, 33.241, 768.705
387, 5, 4, 34.9456, 705.0345
388, 5, 5, 38.8644, 538.1642
389, 5, 6, 42.3152, 745.7797
390, 5, 7, 37.6168, 800.4546
391, 5, 8, 42.3675, 734.3511
392, 5, 9, 42.5321, 788.216
393, 5, 10, 38.8236, 753.9581
394, 5, 11, 39.6576, 795.75
395, 5, 12, 32.717, 774.0679
396, 5, 13, 35.0239, 684.1978
397, 5, 14, 41.593, 719.5113
398, 5, 15, 34.947, 714.6847
399, 5, 16, 41.4925, 665.8545
400, 5, 17, 41.9531, 693.4383
401, 5, 18, 46.3135, 840.7206
402, 5, 19, 46.4475, 840.4732
403, 5, 20, 42.8271, 878.9021
404, 5, 21, 44.4227, 923.643
405, 5, 22, 39.8748, 826.5035
406, 5, 23, 40.7002, 833.6067
407, 6, 0, 41.3104, 640.679
408, 6, 1, 35.4794, 742.9816
409, 6, 2, 33.3174, 639.1269
410, 6, 3, 41.0599, 581.3144
411, 6, 4, 42.4834, 684.1723
412, 6, 5, 42.9329, 607.3745
413, 6, 6, 45.3609, 680.1313
414, 6, 7, 40.4874, 736.3352
415, 6, 8, 51.3931, 782.8324
416, 6, 9, 49.1042, 728.9623
417, 6, 10, 42.1537, 802.5084
418, 6, 11, 32.8126, 761.7826
419, 6, 12, 30.4228, 638.8396
420, 6, 13, 24.8837, 627.8232
421, 6, 14, 23.4453, 732.1846
422, 6, 15, 40.7071, 673.6956
423, 6, 16, 38.042, 705.4813
424, 6, 17, 33.8941, 613.1021
425, 6, 18, 43.4334, 699.5784
426, 6, 19, 38.9191, 685.3067
427, 6, 20, 33.3339, 726.974
428, 6, 21, 34.8383, 727.4896
429, 6, 22, 30.7088, 736.4825
430, 6, 23, 28.4455, 656.813
431, 7, 0, 28.9614, 640.6524
432, 7, 1, 27.6657, 679.2556
433, 7, 2, 30.9327, 634.7405
434, 7, 3, 37.8719, 708.4606
435, 7, 4, 42.6362, 727.2885
436, 7, 5, 39.0356, 613.6527
437, 7, 6, 35.9181, 733.7057
438, 7, 7, 40.115, 859.7718
439, 7, 8, 46.1265, 767.0511
440, 7, 9, 34.7429, 773.6829
441, 7, 10, 28.5077, 805.4196
442, 7, 11, 37.2514, 759.0155
443, 7, 12, 31.1078, 779.8715
444, 7, 13, 32.9292, 725.0565
445, 7, 14, 23.9689, 772.6961
446, 7, 15, 33.0576, 790.2329
447, 7, 16, 35.4851, 691.5908
448, 7, 17, 41.0151, 702.9605
449, 7, 18, 43.5833, 761.5764
450, 7, 19, 38.4984, 686.1184
451, 7, 20, 36.5675, 623.388
452, 7, 21, 36.437, 673.4562
453, 7, 22, 33.4762, 756.1707
454, 7, 23, 35.0712, 708.7199
455, 1, 0, 30.0448, 635.1455
456, 1, 1, 44.5479, 730.3515
457, 1, 2, 49.0306, 674.5713
458, 1, 3, 42.9335, 672.8488
459, 1, 4, 38.0824, 648.5963
460, 1, 5, 45.4022, 719.2489
461, 1, 6, 47.4255, 722.1799
462, 1, 7, 42.6891, 766.1286
463, 1, 8, 49.597, 884.662
464, 1, 9, 34.1279, 827.6527
465, 1, 10, 23.1011, 931.1099
466, 1, 11, 31.5421, 832.8298
467, 1, 12, 28.1212, 885.8044
468, 1, 13, 36.338, 782.4215
469, 1, 14, 18.7787, 862.8614
470, 1, 15, 33.2901, 835.2146
471, 1, 16, 41.2828, 851.9303
472, 1, 17, 40.1453, 911.3525
473, 1, 18, 50.2691, 804.843
474, 1, 19, 50.5533, 842.123
475, 1, 20, 50.9002, 921.9486
476, 1, 21, 39.0861, 965.1286
477, 1, 22, 43.1501, 942.3198
478, 1, 23, 42.8904, 850.3459
479, 2, 0, 42.7733, 893.9198
480, 2, 1, 38.8084, 824.9529
481, 2, 2, 41.6476, 958.0822
482, 2, 3, 49.6611, 949.2985
483, 2, 4, 49.0752, 897.174
484, 2, 5, 54.6078, 845.4963
485, 2, 6, 48.4441, 814.5575
486, 2, 7, 39.0214, 803.1514
487, 2, 8, 39.3889, 888.0523
488, 2, 9, 17.2959, 1038.3094
489, 2, 10, 29.0884, 902.8661
490, 2, 11, 14.8054, 959.1869
491, 2, 12, 32.8625, 899.599
492, 2, 13, 29.9064, 826.6572
493, 2, 14, 25.9662, 839.7634
494, 2, 15, 28.842, 889.1023
495, 2, 16, 29.4338, 902.6924
496, 2, 17, 40.2779, 895.4876
497, 2, 18, 51.587, 910.1308
498, 2, 19, 55.5378, 929.5652
499, 2, 20, 47.2971, 955.7334
500, 2, 21, 43.2837, 950.9583
501, 2, 22, 48.5083, 864.3324
502, 2, 23, 38.1884, 913.5547
503, 3, 0, 47.3057, 873.6135
504, 3, 1, 38.2386, 1021.3664
505, 3, 2, 51.9124, 824.0232
506, 3, 3, 43.8378, 858.1532
507, 3, 4, 37.9878, 834.2023
508, 3, 5, 44.6367, 900.4411
509, 3, 6, 39.6414, 972.9462
510, 3, 7, 32.1005, 910.2919
511, 3, 8, 31.8282, 898.5521
512, 3, 9, 27.1304, 988.5928
513, 3, 10, 18.9906, 947.8938
514, 3, 11, 3.8986, 940.2616
515, 3, 12, 21.525, 830.3061
516, 3, 13, 16.5459, 869.1836
517, 3, 14, 11.6898, 1000.8854
518, 3, 15, 25.3409, 896.6873
519, 3, 16, 38.074, 843.9074
520, 3, 17, 51.4928, 894.4758
521, 3, 18, 50.6375, 916.841
522, 3, 19, 51.677, 1060.958
523, 3, 20, 41.7091, 1096.0128
524, 3, 21, 32.2309, 1007.25
525, 3, 22, 39.4146, 1010.6942
526, 3, 23, 37.7561, 963.8156
527, 4, 0, 44.0444, 970.1702
528, 4, 1, 41.9704, 948.9864
529, 4, 2, 38.7303, 871.711
530, 4, 3, 37.181, 942.0036
531, 4, 4, 41.3129, 871.9469
532, 4, 5, 43.1299, 838.9563
533, 4, 6, 39.4308, 886.045
534, 4, 7, 38.5242, 1014.122
535, 4, 8, 37.2142, 910.3748
536, 4, 9, 34.3031, 903.0902
537, 4, 10, 35.5484, 881.467
538, 4, 11, 36.8282, 841.3443
539, 4, 12, 31.078, 890.6608
540, 4, 13, 35.8601, 883.6249
541, 4, 14, 26.4672, 860.2798
542, 4, 15, 31.3867, 896.3304
543, 4, 16, 35.4987, 866.2678
544, 4, 17, 44.2715, 879.8637
545, 4, 18, 51.1188, 844.6552
546, 4, 19, 52.0356, 907.3499
547, 4, 20, 50.3392, 719.8869
548, 4, 21, 41.7028, 802.3243
549, 4, 22, 42.8458, 805.3366
550, 4, 23, 33.5134, 740.8746
551, 5, 0, 40.312, 652.1335
552, 5, 1, 40.3484, 696.1258
553, 5, 2, 37.8792, 700.0348
554, 5, 3, 38.5176, 563.8123
555, 5, 4, 41.8249, 649.0418
556, 5, 5, 44.9419, 652.8046
557, 5, 6, 36.5046, 719.9473
558, 5, 7, 38.488, 733.8823
559, 5, 8, 43.9133, 678.4253
560, 5, 9, 38.6983, 812.6749
561, 5, 10, 30.482, 823.9313
562, 5, 11, 42.3374, 762.2756
563, 5, 12, 34.158, 683.719
564, 5, 13, 43.2716, 748.4928
565, 5, 14, 40.7266, 738.0034
