slot, dow, hour, int_demand, ext_demand
520, 4, 17, 44.7682, 684.6956
521, 4, 18, 46.4219, 828.2553
522, 4, 19, 44.9237, 818.5699
523, 4, 20, 40.9286, 697.0177
524, 4, 21, 44.3295, 746.0949
525, 4, 22, 42.5783, 658.2944
526, 4, 23, 46.9494, 629.5871
527, 5, 0, 52.2702, 687.4648
528, 5, 1, 47.6232, 588.7905
529, 5, 2, 49.2937, 548.3773
530, 5, 3, 49.4709, 577.727
531, 5, 4, 45.7392, 539.2248
532, 5, 5, 45.2611, 543.179
533, 5, 6, 51.2773, 587.3355
534, 5, 7, 50.7925, 610.191
535, 5, 8, 44.1393, 701.3087
536, 5, 9, 40.144, 720.4365
537, 5, 10, 40.2741, 759.6594
538, 5, 11, 36.5262, 803.0063
539, 5, 12, 45.6521, 703.1626
540, 5, 13, 28.4947, 780.2485
541, 5, 14, 32.8198, 664.0145
542, 5, 15, 40.4357, 718.3779
543, 5, 16, 42.4684, 719.3793
544, 5, 17, 49.0612, 733.7256
545, 5, 18, 46.9635, 702.8397
546, 5, 19, 40.6507, 687.4805
547, 5, 20, 36.8389, 690.6293
548, 5, 21, 32.8067, 635.4913
549, 5, 22, 30.7076, 619.5419
550, 5, 23, 37.7079, 636.3893
551, 6, 0, 51.0359, 483.5221
552, 6, 1, 38.0232, 477.0713
553, 6, 2, 37.9882, 498.4922
554, 6, 3, 38.765, 494.4377
555, 6, 4, 46.1134, 500.174
556, 6, 5, 44.5177, 576.3291
557, 6, 6, 50.1447, 519.4181
558, 6, 7, 42.0384, 583.6498
559, 6, 8, 33.9111, 655.5712
560, 6, 9, 16.8231, 607.3671
561, 6, 10, 14.4998, 631.8313
562, 6, 11, 15.1472, 604.053
563, 6, 12, -7.3751, 671.2489
564, 6, 13, 9.1142, 734.4224
565, 6, 14, 32.0498, 702.4906
566, 6, 15, 36.9886, 718.6871
567, 6, 16, 37.8816, 642.4617
568, 6, 17, 29.0352, 721.047
569, 6, 18, 36.8679, 640.6566
570, 6, 19, 37.5317, 727.0737
571, 6, 20, 32.4523, 673.9144
572, 6, 21, 36.692, 648.6976
573, 6, 22, 31.9704, 590.1612
574, 6, 23, 34.7998, 511.8462
