360 0.97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
361 0.67 1.47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
362 0.97 1.51 1.51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
363 0.67 1.56 1.56 1.56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
364 1.79 1.54 1.62 1.62 1.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
365 0 1.67 1.67 1.71 1.71 1.71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
366 0 1.87 1.87 1.87 1.87 1.87 1.87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
367 0.38 2.14 2.14 2.14 2.14 2.13 2.13 2.13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
368 1.01 2.48 2.48 2.48 2.48 2.48 2.47 2.47 2.47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
369 1.45 2.86 2.86 2.86 2.86 2.86 2.86 2.86 2.86 2.86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
370 1.56 4.42 3.27 3.27 3.27 3.27 3.27 3.27 3.28 3.28 3.28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
371 1.23 4.22 4.22 3.68 3.68 3.68 3.68 3.68 3.68 3.69 3.69 3.69 0 0 0 0 0 0 0 0 0 0 0 0 0 
372 1.16 4.05 4.05 4.05 4.05 4.05 4.05 4.05 4.05 4.05 4.05 4.05 4.05 0 0 0 0 0 0 0 0 0 0 0 0 
373 1.86 4.15 4.14 4.14 4.14 4.34 4.34 4.34 4.34 4.34 4.34 4.34 4.34 4.34 0 0 0 0 0 0 0 0 0 0 0 
374 1.49 4.46 4.46 4.46 4.46 4.46 4.59 4.59 4.59 4.59 4.59 4.59 4.59 4.59 4.59 0 0 0 0 0 0 0 0 0 0 
375 2.68 3.39 3.39 3.39 4.85 4.85 4.85 4.85 4.85 4.85 4.85 4.85 4.85 4.85 4.85 4.85 0 0 0 0 0 0 0 0 0 
376 2.76 4.91 5.21 5.21 5.21 5.21 5.21 5.21 5.16 5.16 5.16 5.16 5.16 5.16 5.16 5.16 5.16 0 0 0 0 0 0 0 0 
377 1.34 5.47 5.47 5.61 5.61 5.61 5.61 5.61 5.61 5.58 5.58 5.58 5.58 5.58 5.58 5.58 5.58 5.58 0 0 0 0 0 0 0 
378 2.68 7.08 7.08 7.08 7.08 7.08 7.08 6.15 6.15 6.15 6.15 6.15 6.15 6.15 6.15 6.15 6.15 6.15 6.15 0 0 0 0 0 0 
379 3.35 7.75 6.95 6.95 6.95 6.9 6.9 6.9 6.89 6.89 6.89 6.91 6.91 6.91 6.91 6.91 6.91 6.91 6.91 6.91 0 0 0 0 0 
380 5.04 8.13 8.13 7.74 7.74 7.74 7.71 7.71 7.71 7.71 7.71 7.71 7.72 7.72 7.72 7.72 7.72 7.72 7.72 7.72 7.72 0 0 0 0 
381 6.95 9.74 9.74 9.74 9.74 9.74 9.74 9.74 9.74 9.74 8.42 8.42 8.42 8.42 8.42 8.42 8.42 8.42 8.42 8.42 8.42 8.42 0 0 0 
382 8 8.53 8.76 8.76 8.76 8.89 8.89 8.89 8.91 8.91 8.91 8.91 8.91 8.91 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 0 0 
383 4.92 9 9 9.11 9.11 9.11 9.2 9.2 9.2 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 9.21 0 
384 2.88 12.1 10.65 10.65 10.65 10.65 10.65 10.65 10.65 10.65 10.65 10.65 10.65 9.41 9.41 9.41 9.41 9.41 9.41 9.41 9.41 9.41 9.41 9.41 9.41 
385 3.13 10.27 9.64 9.64 9.64 9.6 9.6 9.6 9.57 9.57 9.57 9.56 9.56 9.56 9.56 9.56 9.56 9.56 9.56 9.56 9.56 9.56 9.56 9.56 9.56 
386 2.61 9.58 9.58 9.65 9.65 9.65 9.62 9.62 9.62 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 9.6 
387 1.49 8.73 8.73 8.73 8.73 7.47 7.47 7.47 7.47 7.47 7.47 7.47 7.47 7.47 7.47 7.47 9.41 9.41 9.41 9.41 9.41 9.41 9.41 9.41 9.41 
388 1.28 6.83 7.83 7.83 7.83 8.95 8.95 8.95 8.96 8.96 8.96 8.97 8.97 8.97 8.97 8.97 8.97 8.97 8.97 8.97 8.97 8.97 8.97 8.97 8.97 
389 1.43 6.53 6.53 7 7 7 8.49 8.49 8.49 8.49 8.49 8.49 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 
390 0.81 5.24 5.24 5.24 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 6.34 8.31 8.31 8.31 8.31 8.31 8.31 
391 0.51 6.1 6.1 6.1 6.1 5.93 5.93 5.93 8.55 8.55 8.55 8.55 8.55 8.55 8.54 8.54 8.54 8.54 8.54 8.54 8.54 8.54 8.54 8.54 8.54 
392 0.89 5.84 5.84 5.85 5.85 5.85 5.73 5.73 5.73 8.75 8.75 8.75 8.75 8.75 8.75 8.74 8.74 8.74 8.74 8.74 8.74 8.74 8.74 8.74 8.74 
393 1.23 4.21 4.21 4.21 4.21 4.21 4.21 5.67 5.67 5.67 5.67 4.27 4.27 4.27 4.27 4.27 4.27 4.27 4.27 4.27 4.27 4.27 8.31 8.31 8.31 
394 1.56 4.51 5.62 5.62 5.62 5.62 5.62 5.62 5.67 5.67 5.67 6.87 6.87 6.87 6.87 6.87 6.87 6.88 6.88 6.88 6.88 6.88 6.88 6.88 6.88 
395 2.24 5.13 5.13 5.66 5.66 5.66 5.66 5.66 5.66 5.69 5.69 5.69 5.04 5.04 5.04 5.04 5.04 5.04 5.04 5.04 5.04 5.04 5.04 5.04 5.04 
396 2.06 1.45 3.12 3.12 3.12 3.12 3.12 3.12 3.12 3.12 5.69 5.69 5.69 5.69 3.64 3.64 3.64 3.64 3.64 3.64 3.64 3.64 3.64 3.64 3.64 
397 1.86 4.19 5.83 5.83 5.83 5.64 5.64 5.64 5.64 5.64 5.64 5.63 5.63 5.63 3.28 3.28 3.28 3.28 3.28 3.28 3.28 3.28 3.28 3.28 3.28 
398 1.27 4.87 4.87 5.65 5.65 5.65 5.52 5.52 5.52 5.52 5.52 5.52 5.52 5.52 5.52 3.57 3.57 3.57 3.57 3.57 3.57 3.57 3.57 3.57 3.57 
399 1.34 1.44 1.44 1.44 1.44 4.08 4.08 4.08 4.08 4.08 4.08 4.08 4.08 5.37 5.37 5.37 5.37 3.9 3.9 3.9 3.9 3.9 3.9 3.9 3.9 
400 2.24 4.26 5.44 5.44 5.44 5.16 5.16 5.16 5.21 5.21 5.21 5.21 5.21 5.21 5.22 5.22 5.22 3.79 3.79 3.79 3.79 3.79 3.79 3.79 3.79 
401 1.79 4.63 4.63 5.18 5.18 5.18 4.99 4.99 4.99 5.03 5.03 5.03 5.03 5.03 5.03 5.03 5.03 5.03 3.43 3.43 3.43 3.43 3.43 3.43 3.43 
402 1.09 2.17 2.17 2.17 2.17 2.17 2.17 2.17 4.8 4.8 4.8 4.8 4.8 4.8 4.8 4.8 4.8 4.8 4.8 4.8 3.18 3.18 3.18 3.18 3.18 
403 2.83 3.35 4.64 4.64 4.64 4.45 4.45 4.45 4.52 4.52 4.52 4.51 4.51 4.51 4.51 4.51 4.51 4.51 4.51 4.51 3.27 3.27 3.27 3.27 3.27 
404 1.94 3.64 3.64 4.25 4.25 4.25 4.12 4.12 4.12 4.17 4.17 4.17 4.16 4.16 4.16 4.16 4.16 4.16 4.16 4.16 4.16 3.52 3.52 3.52 3.52 
405 3.32 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.77 3.77 3.77 3.77 3.77 3.77 3.77 3.77 3.77 3.77 3.77 3.77 3.64 3.64 
406 3.5 3.44 3.53 3.53 3.53 3.31 3.31 3.31 3.36 3.36 3.36 3.34 3.34 3.34 3.34 3.34 3.34 3.34 3.34 3.34 3.34 3.34 3.34 3.44 3.44 
