slot, dow, hour, int_demand, ext_demand
360, 2, 1, 32.9851, 0
361, 2, 2, 31.5865, 459.123
362, 2, 3, 41.0517, 434.9094
363, 2, 4, 45.1385, 565.8191
364, 2, 5, 51.0711, 626.1745
365, 2, 6, 58.567, 661.7342
366, 2, 7, 47.1625, 700.446
367, 2, 8, 58.6801, 808.019
368, 2, 9, 36.1476, 765.4601
369, 2, 10, 35.1542, 793.7303
370, 2, 11, 31.1513, 888.2309
371, 2, 12, 27.0995, 693.9764
372, 2, 13, 32.0746, 779.2652
373, 2, 14, 34.0416, 852.5899
374, 2, 15, 52.4669, 736.5431
375, 2, 16, 54.2909, 738.6712
376, 2, 17, 48.5992, 803.3132
377, 2, 18, 51.3173, 840.1149
378, 2, 19, 52.8407, 848.4604
379, 2, 20, 48.6376, 858.1442
380, 2, 21, 49.7143, 801.6116
381, 2, 22, 45.8786, 749.2956
382, 2, 23, 41.5079, 705.8612
383, 3, 0, 38.9286, 716.5422
384, 3, 1, 44.7747, 548.7118
385, 3, 2, 44.4516, 629.6641
386, 3, 3, 43.7163, 488.477
387, 3, 4, 47.9631, 633.4237
388, 3, 5, 53.721, 583.3276
389, 3, 6, 54.2402, 659.1248
390, 3, 7, 52.5748, 757.9654
391, 3, 8, 57.7227, 775.3479
392, 3, 9, 42.4651, 883.3646
393, 3, 10, 37.0698, 837.3207
394, 3, 11, 28.1956, 768.1972
395, 3, 12, 21.7891, 864.1398
396, 3, 13, 12.8866, 799.3908
397, 3, 14, 29.1544, 716.8467
398, 3, 15, 41.2159, 780.7755
399, 3, 16, 45.5521, 831.4036
400, 3, 17, 44.3379, 893.7961
401, 3, 18, 50.9367, 777.4694
402, 3, 19, 47.2595, 686.9356
403, 3, 20, 43.2924, 644.9167
404, 3, 21, 41.484, 666.9507
405, 3, 22, 38.0293, 694.8936
406, 3, 23, 36.8021, 605.365
407, 4, 0, 35.7735, 604.5235
408, 4, 1, 39.3646, 519.6445
409, 4, 2, 32.7938, 522.7997
410, 4, 3, 41.1508, 525.6805
411, 4, 4, 49.644, 571.067
412, 4, 5, 50.4783, 609.7086
413, 4, 6, 60.0429, 561.7859
414, 4, 7, 52.5562, 711.4658
415, 4, 8, 57.7725, 708.0673
416, 4, 9, 46.3249, 697.4544
417, 4, 10, 51.136, 728.9713
418, 4, 11, 55.8263, 658.4578
419, 4, 12, 49.9568, 775.3203
420, 4, 13, 48.8896, 807.9479
421, 4, 14, 60.3959, 883.2542
422, 4, 15, 63.2412, 722.3431
423, 4, 16, 59.8409, 901.1398
424, 4, 17, 58.3717, 810.6633
425, 4, 18, 64.7037, 924.1677
426, 4, 19, 57.9062, 819.9877
