slot, dow, hour, int_demand, ext_demand
360, 6, 1, 22.5297, 0
361, 6, 2, 21.7143, 493.1314
362, 6, 3, 34.0092, 526.0804
363, 6, 4, 39.8689, 507.2107
364, 6, 5, 45.913, 599.2904
365, 6, 6, 49.9224, 700.988
366, 6, 7, 41.5171, 724.6922
367, 6, 8, 49.5625, 780.6762
368, 6, 9, 43.2427, 738.0262
369, 6, 10, 40.5241, 798.3839
370, 6, 11, 46.5126, 813.6792
371, 6, 12, 41.0803, 856.164
372, 6, 13, 40.5928, 732.4228
373, 6, 14, 44.7919, 870.5464
374, 6, 15, 46.9859, 799.5612
375, 6, 16, 38.6591, 773.2059
376, 6, 17, 41.1524, 747.8617
377, 6, 18, 47.403, 793.691
378, 6, 19, 45.5536, 775.7398
379, 6, 20, 43.4115, 745.5762
380, 6, 21, 40.5809, 767.5163
381, 6, 22, 39.3588, 779.1388
382, 6, 23, 39.1288, 669.7579
383, 7, 0, 38.0169, 591.2171
384, 7, 1, 37.9835, 584.6405
385, 7, 2, 41.0271, 559.9387
386, 7, 3, 40.6062, 532.771
387, 7, 4, 41.2844, 555.1532
388, 7, 5, 49.0973, 579.48
389, 7, 6, 46.4664, 652.8625
390, 7, 7, 52.0026, 684.904
391, 7, 8, 54.9583, 769.4367
392, 7, 9, 42.1593, 774.71
393, 7, 10, 46.8363, 728.7444
394, 7, 11, 44.4137, 835.1962
395, 7, 12, 40.7676, 689.549
396, 7, 13, 48.041, 790.3296
397, 7, 14, 47.8495, 772.2249
398, 7, 15, 47.4793, 766.8992
399, 7, 16, 51.337, 815.084
400, 7, 17, 48.8079, 741.9222
401, 7, 18, 46.6503, 796.3206
402, 7, 19, 50.8863, 842.8923
403, 7, 20, 49.4353, 808.2479
404, 7, 21, 47.7453, 797.6508
405, 7, 22, 49.6708, 694.3067
406, 7, 23, 45.8662, 642.3395
407, 1, 0, 43.0155, 656.7085
408, 1, 1, 42.3997, 658.584
409, 1, 2, 44.1065, 507.6213
410, 1, 3, 40.6245, 606.8088
411, 1, 4, 37.391, 701.821
412, 1, 5, 40.6923, 752.7437
413, 1, 6, 41.2096, 630.4254
414, 1, 7, 47.7691, 796.8559
415, 1, 8, 51.3581, 732.9681
416, 1, 9, 52.9714, 913.5999
417, 1, 10, 52.8955, 884.4212
418, 1, 11, 52.3072, 875.3163
419, 1, 12, 50.423, 856.1892
420, 1, 13, 41.2334, 977.003
421, 1, 14, 46.3806, 940.8524
422, 1, 15, 50.5952, 974.9728
423, 1, 16, 53.693, 833.0949
424, 1, 17, 52.4825, 851.5405
425, 1, 18, 57.1396, 912.8106
426, 1, 19, 51.7095, 926.8491
427, 1, 20, 47.0854, 807.9324
428, 1, 21, 41.3465, 830.223
429, 1, 22, 45.9333, 772.75
430, 1, 23, 41.6815, 770.9982
431, 2, 0, 42.1377, 759.3709
432, 2, 1, 45.1641, 820.5466
433, 2, 2, 51.2468, 772.1253
434, 2, 3, 52.9191, 660.6253
435, 2, 4, 50.3525, 566.5004
436, 2, 5, 57.2224, 733.8764
437, 2, 6, 59.2282, 813.6067
438, 2, 7, 60.4541, 841.4131
439, 2, 8, 61.8331, 834.4279
440, 2, 9, 62.4594, 872.6702
441, 2, 10, 57.5955, 955.1589
442, 2, 11, 38.1896, 871.6597
443, 2, 12, 40.4801, 941.4537
444, 2, 13, 29.9297, 945.0048
445, 2, 14, 30.0339, 1003.145
446, 2, 15, 30.6329, 1028.4257
447, 2, 16, 35.8525, 947.4287
448, 2, 17, 39.2358, 1023.2453
449, 2, 18, 48.0397, 1021.5567
450, 2, 19, 48.5195, 882.924
451, 2, 20, 44.4845, 856.2784
452, 2, 21, 43.4305, 847.7138
453, 2, 22, 43.9811, 832.6309
454, 2, 23, 42.9638, 695.0705
455, 3, 0, 41.7544, 798.8698
456, 3, 1, 43.6651, 675.2768
457, 3, 2, 46.334, 715.3186
458, 3, 3, 57.3251, 627.1908
459, 3, 4, 53.0418, 665.4992
460, 3, 5, 49.6445, 662.7388
461, 3, 6, 52.4456, 811.9198
462, 3, 7, 55.7091, 814.9341
463, 3, 8, 54.0329, 897.8105
464, 3, 9, 49.8276, 727.1823
465, 3, 10, 46.373, 903.3793
466, 3, 11, 40.0467, 867.4381
467, 3, 12, 40.0326, 972.4037
468, 3, 13, 32.2026, 890.2581
469, 3, 14, 35.5663, 849.8899
470, 3, 15, 48.6503, 855.83
471, 3, 16, 45.629, 844.2428
472, 3, 17, 52.9719, 818.1879
473, 3, 18, 55.1474, 888.7196
474, 3, 19, 47.8588, 811.2364
475, 3, 20, 44.7102, 848.6122
476, 3, 21, 46.1695, 728.6887
477, 3, 22, 40.1786, 791.5289
478, 3, 23, 40.9865, 694.8177
479, 4, 0, 47.8896, 721.9807
480, 4, 1, 49.5462, 640.3576
481, 4, 2, 46.8997, 664.4937
482, 4, 3, 53.7249, 658.2534
483, 4, 4, 47.0947, 677.1867
484, 4, 5, 44.6457, 659.5669
485, 4, 6, 48.8974, 703.4609
486, 4, 7, 50.3785, 747.0859
487, 4, 8, 60.0352, 886.8239
488, 4, 9, 52.6432, 893.359
489, 4, 10, 47.7463, 833.359
490, 4, 11, 45.5367, 902.5885
491, 4, 12, 47.9224, 783.349
492, 4, 13, 40.9987, 929.027
493, 4, 14, 53.0283, 724.1197
494, 4, 15, 48.7682, 926.725
495, 4, 16, 51.4094, 798.7062
496, 4, 17, 47.4772, 862.0071
497, 4, 18, 51.2758, 899.1095
498, 4, 19, 50.5612, 794.055
499, 4, 20, 44.4526, 785.6048
500, 4, 21, 39.7412, 746.725
501, 4, 22, 36.0645, 650.9724
502, 4, 23, 36.2645, 698.6687
503, 5, 0, 40.7266, 642.612
504, 5, 1, 40.2976, 734.3638
505, 5, 2, 42.0856, 701.7383
506, 5, 3, 46.1844, 594.0823
507, 5, 4, 43.2087, 678.9646
508, 5, 5, 45.1917, 729.5084
509, 5, 6, 48.0846, 725.9461
510, 5, 7, 50.8843, 719.2594
511, 5, 8, 56.7145, 770.6364
512, 5, 9, 24.6536, 829.8051
513, 5, 10, 28.8447, 813.7865
514, 5, 11, 30.5924, 911.4596
515, 5, 12, 5.9086, 881.235
516, 5, 13, 15.5185, 910.3991
517, 5, 14, 23.2644, 835.9192
518, 5, 15, 28.1269, 753.5362
519, 5, 16, 27.1043, 878.0033
520, 5, 17, 45.2997, 782.0041
521, 5, 18, 47.8223, 866.2954
522, 5, 19, 48.6242, 797.101
523, 5, 20, 39.5615, 836.2012
524, 5, 21, 40.2652, 874.4126
525, 5, 22, 45.9004, 746.7996
526, 5, 23, 32.016, 871.1592
527, 6, 0, 48.1264, 565.5533
528, 6, 1, 51.3532, 644.0737
529, 6, 2, 49.5934, 566.784
530, 6, 3, 43.7703, 551.6927
531, 6, 4, 47.0071, 624.1022
532, 6, 5, 43.7847, 622.2531
533, 6, 6, 47.0759, 737.5738
534, 6, 7, 42.7128, 672.5288
535, 6, 8, 50.2189, 731.3873
536, 6, 9, 37.1597, 879.0831
537, 6, 10, 13.0006, 713.35
538, 6, 11, -1.7019, 784.0424
539, 6, 12, 8.192, 834.622
540, 6, 13, 10.3549, 824.2211
541, 6, 14, 4.3528, 760.0189
542, 6, 15, 6.2036, 793.2649
543, 6, 16, 24.1382, 781.4601
544, 6, 17, 33.3093, 782.8791
545, 6, 18, 43.8644, 771.7262
546, 6, 19, 37.3411, 775.8072
547, 6, 20, 34.6124, 682.2511
548, 6, 21, 38.441, 844.5348
549, 6, 22, 41.7635, 715.0802
550, 6, 23, 34.5004, 576.1247
551, 7, 0, 46.7196, 582.7286
