slot, dow, hour, int_demand, ext_demand
360, 2, 1, 33.1729, 0
361, 2, 2, 34.4668, 691.0578
362, 2, 3, 41.5524, 641.4316
363, 2, 4, 47.5458, 642.6026
364, 2, 5, 52.296, 576.0763
365, 2, 6, 58.1618, 673.3293
366, 2, 7, 47.0287, 621.0789
367, 2, 8, 55.085, 747.5486
368, 2, 9, 48.8184, 760.5655
369, 2, 10, 38.0702, 768.2486
370, 2, 11, 28.352, 717.8402
371, 2, 12, 29.2409, 867.3437
372, 2, 13, 27.0301, 888.99
373, 2, 14, 37.0299, 854.9232
374, 2, 15, 46.5958, 797.0357
375, 2, 16, 52.283, 886.8323
376, 2, 17, 49.9231, 842.5963
377, 2, 18, 58.0804, 717.0294
378, 2, 19, 42.2985, 834.5534
379, 2, 20, 47.0433, 870.6745
380, 2, 21, 40.0685, 720.1329
381, 2, 22, 31.9887, 672.7378
382, 2, 23, 33.5176, 646.0785
383, 3, 0, 36.1457, 634.3774
384, 3, 1, 37.0816, 653.9647
385, 3, 2, 37.6428, 494.5264
386, 3, 3, 40.0344, 659.9376
387, 3, 4, 47.7962, 582.222
388, 3, 5, 49.3826, 711.2415
389, 3, 6, 60.5161, 679.1633
390, 3, 7, 57.2854, 790.0322
391, 3, 8, 61.4089, 798.1137
392, 3, 9, 49.3144, 796.0935
393, 3, 10, 39.7924, 814.6441
394, 3, 11, 43.3894, 871.8646
395, 3, 12, 30.7384, 840.9037
396, 3, 13, 29.2041, 840.8566
397, 3, 14, 27.0754, 882.9716
398, 3, 15, 47.8068, 864.6379
399, 3, 16, 55.051, 845.4476
400, 3, 17, 47.4635, 916.7771
401, 3, 18, 54.9706, 945.4951
402, 3, 19, 54.6304, 888.144
403, 3, 20, 45.8834, 887.9416
404, 3, 21, 54.3106, 804.3912
405, 3, 22, 43.6379, 745.0811
406, 3, 23, 42.1671, 732.7005
407, 4, 0, 42.0171, 684.4259
408, 4, 1, 43.4387, 603.9586
409, 4, 2, 47.7907, 602.5772
410, 4, 3, 47.1947, 548.5234
411, 4, 4, 48.8557, 691.6754
412, 4, 5, 49.9357, 685.9563
413, 4, 6, 64.6664, 709.4893
414, 4, 7, 58.2055, 789.0484
415, 4, 8, 58.4028, 848.1974
416, 4, 9, 44.2149, 744.3441
417, 4, 10, 38.5411, 969.2363
418, 4, 11, 29.5277, 854.0392
419, 4, 12, 33.362, 869.668
420, 4, 13, 26.3564, 810.0521
421, 4, 14, 23.4751, 897.4781
422, 4, 15, 38.4087, 916.0775
423, 4, 16, 49.324, 926.739
424, 4, 17, 45.9108, 853.7725
425, 4, 18, 56.4453, 923.9995
426, 4, 19, 53.7985, 816.5195
427, 4, 20, 47.5524, 865.5369
428, 4, 21, 47.6734, 782.2056
429, 4, 22, 48.453, 777.4638
430, 4, 23, 49.3065, 738.6484
431, 5, 0, 51.5593, 569.8696
432, 5, 1, 47.878, 639.8257
433, 5, 2, 52.0578, 602.5778
434, 5, 3, 52.7309, 642.161
435, 5, 4, 50.4438, 692.4057
436, 5, 5, 49.0018, 609.1529
437, 5, 6, 52.9524, 720.8084
438, 5, 7, 55.0317, 811.9914
439, 5, 8, 51.8213, 828.2949
440, 5, 9, 37.252, 791.7307
441, 5, 10, 26.4485, 795.7285
442, 5, 11, 11.3255, 905.5618
443, 5, 12, 17.4723, 900.4909
444, 5, 13, 18.4239, 881.1007
445, 5, 14, 38.1429, 811.9734
446, 5, 15, 46.0102, 836.5322
447, 5, 16, 43.7848, 767.1221
448, 5, 17, 52.5277, 842.2723
449, 5, 18, 59.7987, 820.9926
450, 5, 19, 52.8549, 913.4651
451, 5, 20, 50.2172, 888.4909
452, 5, 21, 51.4019, 780.627
453, 5, 22, 50.0626, 684.2729
454, 5, 23, 48.8858, 704.0511
455, 6, 0, 47.7182, 633.0733
456, 6, 1, 50.3577, 584.6203
457, 6, 2, 53.3959, 600.1679
458, 6, 3, 51.0031, 591.0195
459, 6, 4, 51.8849, 637.6328
460, 6, 5, 48.0158, 630.0963
461, 6, 6, 63.9689, 725.8916
462, 6, 7, 48.4054, 743.6717
463, 6, 8, 50.183, 603.8485
464, 6, 9, 34.3977, 768.4243
465, 6, 10, 19.5856, 825.6183
466, 6, 11, -2.546, 702.0477
467, 6, 12, 6.3891, 758.9971
468, 6, 13, 15.6498, 784.6676
469, 6, 14, 18.6204, 799.8503
470, 6, 15, 26.2205, 809.7109
471, 6, 16, 47.8049, 734.851
472, 6, 17, 49.1029, 711.2972
473, 6, 18, 39.4134, 849.3143
474, 6, 19, 42.5989, 737.4836
475, 6, 20, 42.8447, 764.0928
476, 6, 21, 43.8881, 649.6844
477, 6, 22, 40.2321, 680.1713
478, 6, 23, 43.461, 549.7551
479, 7, 0, 48.4807, 576.6262
480, 7, 1, 46.888, 577.8806
481, 7, 2, 50.5909, 485.3682
482, 7, 3, 47.5971, 583.85
483, 7, 4, 55.2277, 586.8346
484, 7, 5, 51.2368, 483.559
485, 7, 6, 63.1035, 560.4066
486, 7, 7, 53.5053, 589.8703
487, 7, 8, 43.1294, 655.6961
488, 7, 9, 32.0586, 738.6507
489, 7, 10, 24.7226, 771.8768
490, 7, 11, 20.1651, 668.552
491, 7, 12, 12.921, 653.5419
492, 7, 13, 7.0049, 766.609
493, 7, 14, 21.412, 710.8358
494, 7, 15, 19.6105, 747.0978
495, 7, 16, 35.2706, 691.7581
496, 7, 17, 42.8562, 743.0435
497, 7, 18, 46.9249, 735.2925
498, 7, 19, 46.2633, 760.3944
499, 7, 20, 45.2653, 799.727
500, 7, 21, 49.6733, 779.6612
501, 7, 22, 51.5871, 657.0784
502, 7, 23, 53.9095, 598.504
503, 1, 0, 59.5666, 635.4207
504, 1, 1, 57.6173, 575.0179
505, 1, 2, 54.8732, 593.8143
