
2009-04-25T00:00:00.000Z
13,10 10,80 8,60 8,00 7,70 7,60 7,40 7,00 6,60 6,50 5,60 4,90 4,80 4,70 5,90 7,40 8,30 9,70 10,80 11,50 12,40 12,70 12,80 12,80 13,30 12,40 11,40 11,20 10,90 10,40 10,10 9,20 8,50 8,30 7,80 7,60 6,90 6,80 6,30 6,10 6,30 6,60 7,10 7,50 8,40 9,10 9,70 10,70 12,00 13,30 14,40 15,50 13,90 12,70 11,70 10,20 8,60 7,40 6,40 6,30 5,80 5,60 6,10 5,40 6,70 6,90 7,60 9,00 10,40 10,70 10,60 11,10 10,50 9,70 8,50 7,60 6,70 5,60 5,10 4,00 3,40 2,70 2,30 1,30 1,90 6,10 8,10 9,70 11,20 12,40 13,60 14,60 15,70 16,30 16,90 16,90 
2009-04-26T00:00:00.000Z
16,40 15,10 13,60 13,50 13,00 12,40 11,70 11,20 10,80 9,50 8,70 8,50 8,50 8,90 9,00 8,70 8,70 9,20 10,40 11,60 12,40 12,60 12,60 12,90 
2009-04-27T00:00:00.000Z
12,60 12,80 12,60 12,60 12,70 12,70 12,70 12,70 12,60 12,60 12,30 12,20 12,50 12,60 13,20 14,40 14,90 14,90 15,70 15,40 15,10 16,00 15,70 14,00 
2009-04-28T00:00:00.000Z
12,70 11,80 10,80 10,10 9,30 8,40 8,20 8,00 7,80 7,60 7,20 6,70 6,70 7,50 8,20 10,30 12,10 12,80 13,50 13,80 14,00 14,70 14,90 14,50 
2009-04-29T00:00:00.000Z
13,80 13,20 11,90 10,70 9,40 8,80 8,60 7,70 6,80 6,10 5,80 5,20 5,90 7,50 9,90 12,30 13,90 14,80 15,60 16,30 16,40 16,80 17,10 17,10 
2009-04-30T00:00:00.000Z
16,70 15,60 14,60 13,60 13,20 12,90 12,70 11,60 9,40 9,10 7,80 7,10 7,30 10,10 12,10 14,00 15,80 16,90 17,60 18,20 18,90 19,20 19,40 19,30 
2009-05-01T00:00:00.000Z
18,50 17,30 15,60 13,20 11,70 10,90 10,30 8,60 7,80 6,30 5,70 5,40 6,30 10,30 12,80 14,90 17,20 18,60 20,10 20,60 21,50 22,00 22,50 22,40 
2009-05-02T00:00:00.000Z
