slot, dow, hour, int_demand, ext_demand
360, 4, 1, 40.4029, 0
361, 4, 2, 36.1369, 536.7514
362, 4, 3, 43.1105, 618.5994
363, 4, 4, 50.3383, 589.6953
364, 4, 5, 60.2338, 555.6969
365, 4, 6, 64.4588, 690.7677
366, 4, 7, 53.537, 779.9432
367, 4, 8, 60.1745, 776.1787
368, 4, 9, 38.5473, 854.1699
369, 4, 10, 24.4522, 874.121
370, 4, 11, 23.1714, 879.6948
371, 4, 12, 32.7018, 833.6149
372, 4, 13, 31.6693, 881.4516
373, 4, 14, 36.889, 839.3091
374, 4, 15, 39.0726, 832.949
375, 4, 16, 45.4299, 800.1035
376, 4, 17, 51.5597, 844.8077
377, 4, 18, 54.4961, 825.5942
378, 4, 19, 51.673, 774.9138
379, 4, 20, 51.6063, 824.174
380, 4, 21, 52.5315, 784.4161
381, 4, 22, 46.8133, 754.9677
382, 4, 23, 48.5407, 831.0052
383, 5, 0, 52.4312, 630.8376
384, 5, 1, 54.4768, 642.2092
385, 5, 2, 50.1711, 669.8601
386, 5, 3, 42.1928, 633.9328
387, 5, 4, 46.3893, 627.9304
388, 5, 5, 51.8586, 680.3102
389, 5, 6, 49.3888, 621.2059
390, 5, 7, 50.5046, 757.9217
391, 5, 8, 36.724, 759.6319
392, 5, 9, 24.772, 788.5863
393, 5, 10, 19.6203, 833.0737
394, 5, 11, 24.7206, 774.4381
395, 5, 12, 23.5785, 803.6665
396, 5, 13, 25.3712, 976.6809
397, 5, 14, 23.8266, 852.9523
398, 5, 15, 36.4805, 808.8724
399, 5, 16, 30.3355, 816.3679
400, 5, 17, 45.9348, 925.7174
401, 5, 18, 52.3074, 742.9257
402, 5, 19, 44.9632, 771.7996
403, 5, 20, 48.5262, 810.8638
404, 5, 21, 48.3166, 681.8666
405, 5, 22, 46.2476, 767.1133
406, 5, 23, 48.9712, 599.0361
407, 6, 0, 57.1323, 664.396
408, 6, 1, 46.452, 521.1406
409, 6, 2, 46.0742, 462.6955
410, 6, 3, 47.5101, 460.4848
411, 6, 4, 54.4202, 496.4469
412, 6, 5, 55.5261, 507.8909
413, 6, 6, 53.1593, 565.1914
