
2009-12-22T00:00:00.000Z
16,90 15,50 14,30 13,50 13,60 12,50 11,70 11,30 10,30 10,10 9,60 9,30 9,60 9,30 9,20 9,60 10,20 12,50 14,50 16,20 17,40 15,30 11,30 11,70 11,30 11,00 10,50 10,10 10,00 9,70 9,10 8,10 7,20 6,90 6,10 5,30 5,00 3,80 3,80 3,90 4,70 6,60 8,30 9,80 10,80 11,90 12,80 13,30 12,70 11,80 10,00 9,20 8,00 7,60 6,90 5,80 5,00 4,70 4,00 4,00 4,10 2,70 2,50 2,50 4,40 7,50 9,40 10,80 12,20 13,20 13,70 14,00 13,90 12,30 10,90 9,30 7,80 7,20 6,70 5,70 5,10 4,60 3,60 3,20 4,20 1,80 1,20 1,10 4,10 6,20 8,40 9,90 11,30 12,20 12,80 13,00 
2009-12-23T00:00:00.000Z
12,90 11,30 9,60 7,80 6,80 6,10 6,00 4,60 4,00 4,30 2,90 2,90 2,60 2,10 1,40 1,10 3,90 7,20 9,70 11,10 12,70 13,50 14,10 14,00 
2009-12-24T00:00:00.000Z
13,70 12,20 11,00 9,80 8,70 9,00 7,40 7,10 6,80 6,10 5,60 4,70 4,70 3,00 2,50 2,50 4,80 7,70 10,20 12,10 13,10 14,00 15,00 15,40 
2009-12-25T00:00:00.000Z
14,80 12,60 10,80 9,80 9,30 9,00 8,80 8,50 8,30 7,90 7,50 6,90 7,00 6,60 7,30 7,10 9,00 10,60 14,10 14,90 15,50 15,50 16,00 16,10 
2009-12-26T00:00:00.000Z
15,40 13,90 13,10 12,10 11,20 11,40 11,70 11,40 10,80 10,00 9,70 9,60 9,40 9,90 9,50 8,90 10,30 11,60 13,10 14,20 14,40 15,40 15,60 15,60 
2009-12-27T00:00:00.000Z
15,40 14,40 13,20 11,70 11,40 10,30 9,30 8,40 7,20 6,90 6,40 7,10 6,40 4,80 4,60 4,70 6,70 9,20 11,20 11,90 12,90 14,30 14,40 14,60 
2009-12-28T00:00:00.000Z
14,80 13,90 13,20 12,80 12,70 12,00 11,10 9,60 8,20 7,50 7,20 7,50 7,00 6,30 5,60 6,80 8,60 11,40 13,40 14,80 16,00 16,70 17,20 17,20 
2009-12-29T00:00:00.000Z
17,00 15,10 13,00 11,60 9,90 9,70 9,10 7,20 6,50 6,70 6,30 6,00 6,20 5,40 4,60 4,60 6,30 11,40 14,50 16,30 17,60 18,10 19,00 19,20 
2009-12-30T00:00:00.000Z
18,80 16,70 14,50 13,90 12,70 12,10 11,80 10,70 10,10 11,00 10,70 10,00 8,30 7,40 6,40 6,80 8,90 12,50 14,60 16,60 18,20 19,30 19,70 20,30 
2009-12-31T00:00:00.000Z
20,00 17,90 15,40 13,30 11,70 11,10 10,40 9,20 8,60 8,30 7,40 6,90 6,60 5,20 4,40 4,80 8,10 11,50 14,30 16,70 18,50 19,70 20,70 21,20 
2010-01-01T00:00:00.000Z
20,90 18,10 15,70 13,80 12,40 13,80 12,30 11,70 11,30 11,00 9,40 7,90 7,90 6,40 6,40 7,60 9,70 13,70 16,90 19,00 20,10 21,60 21,90 22,10 
2010-01-02T00:00:00.000Z
21,40 18,40 17,20 15,60 15,30 13,20 12,20 11,30 10,60 9,60 8,60 9,00 8,30 6,60 6,60 7,60 9,40 13,50 16,80 18,20 19,70 20,70 21,60 21,90 
2010-01-03T00:00:00.000Z
21,70 18,80 16,40 13,30 12,80 12,10 11,70 11,10 9,20 9,20 7,50 7,50 7,30 5,80 5,40 5,90 8,20 10,90 13,80 15,60 17,40 18,50 19,40 19,60 
2010-01-04T00:00:00.000Z
19,70 17,60 15,90 14,50 13,20 12,40 12,30 11,30 10,00 9,20 8,80 8,10 8,30 7,40 7,70 7,60 8,60 10,60 13,60 14,70 16,70 18,10 19,00 19,60 
2010-01-05T00:00:00.000Z
19,60 17,60 15,40 12,80 12,20 12,10 11,10 10,60 9,60 9,40 9,20 8,30 8,90 7,40 6,50 7,00 10,70 14,20 16,60 18,10 18,60 19,50 19,90 19,80 
2010-01-06T00:00:00.000Z
18,80 17,30 14,80 13,70 12,80 12,50 11,40 10,40 9,70 9,00 8,80 8,10 8,00 6,20 5,50 5,20 8,10 11,90 14,70 16,00 17,80 18,50 19,40 19,80 
2010-01-07T00:00:00.000Z
19,50 17,20 14,30 12,20 11,80 10,80 9,90 9,30 9,30 8,30 8,30 8,10 8,90 7,30 7,40 6,70 7,80 10,90 14,50 16,60 17,90 18,50 19,20 19,20 
2010-01-08T00:00:00.000Z
19,00 17,30 15,20 13,00 12,60 10,60 9,90 9,20 8,50 8,90 8,50 7,90 8,10 5,60 6,20 6,00 8,40 13,00 16,00 17,80 19,20 20,80 21,50 21,80 
2010-01-09T00:00:00.000Z
22,10 19,10 15,20 14,10 12,60 12,50 11,70 10,40 9,60 9,70 10,10 9,90 10,60 8,10 6,70 7,80 10,50 14,80 18,50 20,20 21,70 22,50 22,90 23,10 
2010-01-10T00:00:00.000Z
22,40 20,80 17,80 16,60 14,70 14,70 14,40 13,60 12,90 13,20 12,50 11,40 12,00 11,40 10,60 10,60 11,70 13,40 15,60 16,70 18,40 19,90 20,80 21,20 
2010-01-11T00:00:00.000Z
21,00 18,70 16,30 16,10 16,40 14,90 14,50 13,30 12,00 11,40 10,70 10,70 9,40 9,10 8,00 8,50 10,10 12,80 15,00 16,90 18,60 19,90 21,40 21,90 
2010-01-12T00:00:00.000Z
